Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Oceania,New Zealand,2012,Otherreason,77461000,44120,8.2
Oceania,New Zealand,2012,Backpackers,86421000,32499,25.3
Oceania,New Zealand,2012,Nonbackpackers,2170401000,1045994,14.2
Asia,Japan,2012,Holiday,928877000,213916,19.4
Asia,Japan,2012,Visiting friends and relatives,82614000,30876,18.4
Asia,Japan,2012,Business,132472000,31756,13.5
Asia,Japan,2012,Education,268382000,20462,118.9
Asia,Japan,2012,Employment,0,0,0
Asia,Japan,2012,Otherreason,0,0,0
Asia,Japan,2012,Backpackers,196243000,28667,91
Asia,Japan,2012,Nonbackpackers,1353100000,290461,24.8
Asia,Singapore,2012,Holiday,343190000,129177,9.5
Asia,Singapore,2012,Visiting friends and relatives,112938000,45136,16.7
Asia,Singapore,2012,Business,166518000,54760,8.2
Asia,Singapore,2012,Education,333951000,15693,125
Asia,Singapore,2012,Employment,0,0,0
Asia,Singapore,2012,Otherreason,24134000,8737,28.9
Asia,Singapore,2012,Backpackers,52767000,8356,39.4
Asia,Singapore,2012,Nonbackpackers,974211000,252641,20
Asia,China,2012,Holiday,1136634000,290226,9
Asia,China,2012,Visiting friends and relatives,412541000,104269,58.7
Asia,China,2012,Business,326811000,64217,19
Asia,China,2012,Education,1948549000,89901,164.8
Asia,China,2012,Employment,190665000,14976,164
Asia,China,2012,Otherreason,117824000,22070,29.4
Asia,China,2012,Backpackers,127426000,11665,90.6
Asia,China,2012,Nonbackpackers,4005598000,573993,46.7
Americas,United States,2012,Holiday,873572000,169556,18.5
Americas,United States,2012,Visiting friends and relatives,364128000,105933,22.4
Americas,United States,2012,Business,680850000,113397,14.5
Americas,United States,2012,Education,240711000,19988,87.9
Americas,United States,2012,Employment,121272000,16316,85.1
Americas,United States,2012,Otherreason,62318000,19977,13.6
Americas,United States,2012,Backpackers,254239000,40687,47
Americas,United States,2012,Nonbackpackers,2088611000,404480,21.4
Europe,United Kingdom,2012,Holiday,1312971000,216241,47.7
Europe,United Kingdom,2012,Visiting friends and relatives,868926000,247213,28.1
Europe,United Kingdom,2012,Business,346860000,59439,23.2
Europe,United Kingdom,2012,Education,63992000,7843,131.4
Europe,United Kingdom,2012,Employment,371007000,27879,130.9
Europe,United Kingdom,2012,Otherreason,55966000,14562,30.4
